ED_num,reported,candidate,party,votes
ED   52,99.00%,Kamala D. Harris Tim Walz,(Democratic),689
ED   52,99.00%,Donald J. Trump JD Vance,(Republican),159
ED   52,99.00%,Donald J. Trump JD Vance,(Conservative),12
ED   52,99.00%,Kamala D. Harris Tim Walz,(Working Families),33
ED   52,99.00%,WRITE-IN,&nbsp,24
ED   53,99.00%,Kamala D. Harris Tim Walz,(Democratic),457
ED   53,99.00%,Donald J. Trump JD Vance,(Republican),117
ED   53,99.00%,Donald J. Trump JD Vance,(Conservative),5
ED   53,99.00%,Kamala D. Harris Tim Walz,(Working Families),21
ED   53,99.00%,WRITE-IN,&nbsp,7
ED   54,88.89%,Kamala D. Harris Tim Walz,(Democratic),493
ED   54,88.89%,Donald J. Trump JD Vance,(Republican),158
ED   54,88.89%,Donald J. Trump JD Vance,(Conservative),7
ED   54,88.89%,Kamala D. Harris Tim Walz,(Working Families),31
ED   54,88.89%,WRITE-IN,&nbsp,10
ED   55,99.00%,Kamala D. Harris Tim Walz,(Democratic),431
ED   55,99.00%,Donald J. Trump JD Vance,(Republican),112
ED   55,99.00%,Donald J. Trump JD Vance,(Conservative),4
ED   55,99.00%,Kamala D. Harris Tim Walz,(Working Families),22
ED   55,99.00%,WRITE-IN,&nbsp,8
ED   56,99.00%,Kamala D. Harris Tim Walz,(Democratic),650
ED   56,99.00%,Donald J. Trump JD Vance,(Republican),121
ED   56,99.00%,Donald J. Trump JD Vance,(Conservative),7
ED   56,99.00%,Kamala D. Harris Tim Walz,(Working Families),25
ED   56,99.00%,WRITE-IN,&nbsp,7
ED   57,99.00%,Kamala D. Harris Tim Walz,(Democratic),822
ED   57,99.00%,Donald J. Trump JD Vance,(Republican),151
ED   57,99.00%,Donald J. Trump JD Vance,(Conservative),15
ED   57,99.00%,Kamala D. Harris Tim Walz,(Working Families),53
ED   57,99.00%,WRITE-IN,&nbsp,27
ED   58,99.00%,Kamala D. Harris Tim Walz,(Democratic),462
ED   58,99.00%,Donald J. Trump JD Vance,(Republican),94
ED   58,99.00%,Donald J. Trump JD Vance,(Conservative),6
ED   58,99.00%,Kamala D. Harris Tim Walz,(Working Families),37
ED   58,99.00%,WRITE-IN,&nbsp,14
ED   59,88.89%,Kamala D. Harris Tim Walz,(Democratic),754
ED   59,88.89%,Donald J. Trump JD Vance,(Republican),165
ED   59,88.89%,Donald J. Trump JD Vance,(Conservative),10
ED   59,88.89%,Kamala D. Harris Tim Walz,(Working Families),32
ED   59,88.89%,WRITE-IN,&nbsp,22
ED   60,99.00%,Kamala D. Harris Tim Walz,(Democratic),1046
ED   60,99.00%,Donald J. Trump JD Vance,(Republican),176
ED   60,99.00%,Donald J. Trump JD Vance,(Conservative),14
ED   60,99.00%,Kamala D. Harris Tim Walz,(Working Families),88
ED   60,99.00%,WRITE-IN,&nbsp,20
ED   61,88.89%,Kamala D. Harris Tim Walz,(Democratic),447
ED   61,88.89%,Donald J. Trump JD Vance,(Republican),122
ED   61,88.89%,Donald J. Trump JD Vance,(Conservative),10
ED   61,88.89%,Kamala D. Harris Tim Walz,(Working Families),34
ED   61,88.89%,WRITE-IN,&nbsp,13
ED   62,88.89%,Kamala D. Harris Tim Walz,(Democratic),699
ED   62,88.89%,Donald J. Trump JD Vance,(Republican),98
ED   62,88.89%,Donald J. Trump JD Vance,(Conservative),14
ED   62,88.89%,Kamala D. Harris Tim Walz,(Working Families),53
ED   62,88.89%,WRITE-IN,&nbsp,13
ED   63,99.00%,Kamala D. Harris Tim Walz,(Democratic),714
ED   63,99.00%,Donald J. Trump JD Vance,(Republican),104
ED   63,99.00%,Donald J. Trump JD Vance,(Conservative),16
ED   63,99.00%,Kamala D. Harris Tim Walz,(Working Families),53
ED   63,99.00%,WRITE-IN,&nbsp,18
ED   64,99.00%,Kamala D. Harris Tim Walz,(Democratic),605
ED   64,99.00%,Donald J. Trump JD Vance,(Republican),122
ED   64,99.00%,Donald J. Trump JD Vance,(Conservative),7
ED   64,99.00%,Kamala D. Harris Tim Walz,(Working Families),31
ED   64,99.00%,WRITE-IN,&nbsp,14
ED   65,99.00%,Kamala D. Harris Tim Walz,(Democratic),687
ED   65,99.00%,Donald J. Trump JD Vance,(Republican),224
ED   65,99.00%,Donald J. Trump JD Vance,(Conservative),12
ED   65,99.00%,Kamala D. Harris Tim Walz,(Working Families),35
ED   65,99.00%,WRITE-IN,&nbsp,16
ED   66,99.00%,Kamala D. Harris Tim Walz,(Democratic),333
ED   66,99.00%,Donald J. Trump JD Vance,(Republican),115
ED   66,99.00%,Donald J. Trump JD Vance,(Conservative),3
ED   66,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   66,99.00%,WRITE-IN,&nbsp,15
ED   67,99.00%,Kamala D. Harris Tim Walz,(Democratic),875
ED   67,99.00%,Donald J. Trump JD Vance,(Republican),152
ED   67,99.00%,Donald J. Trump JD Vance,(Conservative),8
ED   67,99.00%,Kamala D. Harris Tim Walz,(Working Families),76
ED   67,99.00%,WRITE-IN,&nbsp,18
ED   68,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   68,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   68,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   68,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   68,99.00%,WRITE-IN,&nbsp,0
ED   69,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   69,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   69,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   69,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   69,99.00%,WRITE-IN,&nbsp,0
ED   70,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   70,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   70,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   70,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   70,99.00%,WRITE-IN,&nbsp,0
Total,,Kamala D. Harris Tim Walz,(Democratic),46641
Total,,Donald J. Trump JD Vance,(Republican),7861
Total,,Donald J. Trump JD Vance,(Conservative),478
Total,,Kamala D. Harris Tim Walz,(Working Families),2589
Total,,WRITE-IN,&nbsp,1165
ED    1,99.00%,Kamala D. Harris Tim Walz,(Democratic),442
ED    1,99.00%,Donald J. Trump JD Vance,(Republican),50
ED    1,99.00%,Donald J. Trump JD Vance,(Conservative),3
ED    1,99.00%,Kamala D. Harris Tim Walz,(Working Families),37
ED    1,99.00%,WRITE-IN,&nbsp,6
ED    2,99.00%,Kamala D. Harris Tim Walz,(Democratic),404
ED    2,99.00%,Donald J. Trump JD Vance,(Republican),77
ED    2,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED    2,99.00%,Kamala D. Harris Tim Walz,(Working Families),19
ED    2,99.00%,WRITE-IN,&nbsp,2
ED    3,99.00%,Kamala D. Harris Tim Walz,(Democratic),293
ED    3,99.00%,Donald J. Trump JD Vance,(Republican),36
ED    3,99.00%,Donald J. Trump JD Vance,(Conservative),1
ED    3,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED    3,99.00%,WRITE-IN,&nbsp,2
ED    4,87.50%,Kamala D. Harris Tim Walz,(Democratic),513
ED    4,87.50%,Donald J. Trump JD Vance,(Republican),41
ED    4,87.50%,Donald J. Trump JD Vance,(Conservative),5
ED    4,87.50%,Kamala D. Harris Tim Walz,(Working Families),35
ED    4,87.50%,WRITE-IN,&nbsp,14
ED    5,99.00%,Kamala D. Harris Tim Walz,(Democratic),369
ED    5,99.00%,Donald J. Trump JD Vance,(Republican),20
ED    5,99.00%,Donald J. Trump JD Vance,(Conservative),3
ED    5,99.00%,Kamala D. Harris Tim Walz,(Working Families),47
ED    5,99.00%,WRITE-IN,&nbsp,7
ED    6,87.50%,Kamala D. Harris Tim Walz,(Democratic),433
ED    6,87.50%,Donald J. Trump JD Vance,(Republican),86
ED    6,87.50%,Donald J. Trump JD Vance,(Conservative),3
ED    6,87.50%,Kamala D. Harris Tim Walz,(Working Families),20
ED    6,87.50%,WRITE-IN,&nbsp,5
ED    7,87.50%,Kamala D. Harris Tim Walz,(Democratic),309
ED    7,87.50%,Donald J. Trump JD Vance,(Republican),57
ED    7,87.50%,Donald J. Trump JD Vance,(Conservative),12
ED    7,87.50%,Kamala D. Harris Tim Walz,(Working Families),15
ED    7,87.50%,WRITE-IN,&nbsp,4
ED    8,87.50%,Kamala D. Harris Tim Walz,(Democratic),764
ED    8,87.50%,Donald J. Trump JD Vance,(Republican),117
ED    8,87.50%,Donald J. Trump JD Vance,(Conservative),15
ED    8,87.50%,Kamala D. Harris Tim Walz,(Working Families),81
ED    8,87.50%,WRITE-IN,&nbsp,24
ED    9,99.00%,Kamala D. Harris Tim Walz,(Democratic),208
ED    9,99.00%,Donald J. Trump JD Vance,(Republican),36
ED    9,99.00%,Donald J. Trump JD Vance,(Conservative),3
ED    9,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED    9,99.00%,WRITE-IN,&nbsp,3
ED   10,99.00%,Kamala D. Harris Tim Walz,(Democratic),343
ED   10,99.00%,Donald J. Trump JD Vance,(Republican),68
ED   10,99.00%,Donald J. Trump JD Vance,(Conservative),6
ED   10,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   10,99.00%,WRITE-IN,&nbsp,1
ED   11,99.00%,Kamala D. Harris Tim Walz,(Democratic),499
ED   11,99.00%,Donald J. Trump JD Vance,(Republican),57
ED   11,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED   11,99.00%,Kamala D. Harris Tim Walz,(Working Families),47
ED   11,99.00%,WRITE-IN,&nbsp,17
ED   12,71.43%,Kamala D. Harris Tim Walz,(Democratic),299
ED   12,71.43%,Donald J. Trump JD Vance,(Republican),38
ED   12,71.43%,Donald J. Trump JD Vance,(Conservative),5
ED   12,71.43%,Kamala D. Harris Tim Walz,(Working Families),19
ED   12,71.43%,WRITE-IN,&nbsp,15
ED   13,71.43%,Kamala D. Harris Tim Walz,(Democratic),394
ED   13,71.43%,Donald J. Trump JD Vance,(Republican),81
ED   13,71.43%,Donald J. Trump JD Vance,(Conservative),8
ED   13,71.43%,Kamala D. Harris Tim Walz,(Working Families),15
ED   13,71.43%,WRITE-IN,&nbsp,15
ED   14,99.00%,Kamala D. Harris Tim Walz,(Democratic),312
ED   14,99.00%,Donald J. Trump JD Vance,(Republican),30
ED   14,99.00%,Donald J. Trump JD Vance,(Conservative),3
ED   14,99.00%,Kamala D. Harris Tim Walz,(Working Families),24
ED   14,99.00%,WRITE-IN,&nbsp,7
ED   15,99.00%,Kamala D. Harris Tim Walz,(Democratic),329
ED   15,99.00%,Donald J. Trump JD Vance,(Republican),55
ED   15,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED   15,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   15,99.00%,WRITE-IN,&nbsp,4
ED   16,99.00%,Kamala D. Harris Tim Walz,(Democratic),310
ED   16,99.00%,Donald J. Trump JD Vance,(Republican),71
ED   16,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED   16,99.00%,Kamala D. Harris Tim Walz,(Working Families),22
ED   16,99.00%,WRITE-IN,&nbsp,2
ED   17,99.00%,Kamala D. Harris Tim Walz,(Democratic),487
ED   17,99.00%,Donald J. Trump JD Vance,(Republican),84
ED   17,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED   17,99.00%,Kamala D. Harris Tim Walz,(Working Families),30
ED   17,99.00%,WRITE-IN,&nbsp,11
ED   18,99.00%,Kamala D. Harris Tim Walz,(Democratic),283
ED   18,99.00%,Donald J. Trump JD Vance,(Republican),82
ED   18,99.00%,Donald J. Trump JD Vance,(Conservative),5
ED   18,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED   18,99.00%,WRITE-IN,&nbsp,8
ED   19,87.50%,Kamala D. Harris Tim Walz,(Democratic),417
ED   19,87.50%,Donald J. Trump JD Vance,(Republican),59
ED   19,87.50%,Donald J. Trump JD Vance,(Conservative),5
ED   19,87.50%,Kamala D. Harris Tim Walz,(Working Families),17
ED   19,87.50%,WRITE-IN,&nbsp,8
ED   20,99.00%,Kamala D. Harris Tim Walz,(Democratic),435
ED   20,99.00%,Donald J. Trump JD Vance,(Republican),102
ED   20,99.00%,Donald J. Trump JD Vance,(Conservative),13
ED   20,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED   20,99.00%,WRITE-IN,&nbsp,10
ED   21,99.00%,Kamala D. Harris Tim Walz,(Democratic),572
ED   21,99.00%,Donald J. Trump JD Vance,(Republican),97
ED   21,99.00%,Donald J. Trump JD Vance,(Conservative),7
ED   21,99.00%,Kamala D. Harris Tim Walz,(Working Families),34
ED   21,99.00%,WRITE-IN,&nbsp,13
ED   22,99.00%,Kamala D. Harris Tim Walz,(Democratic),281
ED   22,99.00%,Donald J. Trump JD Vance,(Republican),71
ED   22,99.00%,Donald J. Trump JD Vance,(Conservative),5
ED   22,99.00%,Kamala D. Harris Tim Walz,(Working Families),26
ED   22,99.00%,WRITE-IN,&nbsp,12
ED   23,99.00%,Kamala D. Harris Tim Walz,(Democratic),348
ED   23,99.00%,Donald J. Trump JD Vance,(Republican),58
ED   23,99.00%,Donald J. Trump JD Vance,(Conservative),3
ED   23,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED   23,99.00%,WRITE-IN,&nbsp,3
ED   24,99.00%,Kamala D. Harris Tim Walz,(Democratic),31
ED   24,99.00%,Donald J. Trump JD Vance,(Republican),14
ED   24,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   24,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   24,99.00%,WRITE-IN,&nbsp,0
ED   25,99.00%,Kamala D. Harris Tim Walz,(Democratic),455
ED   25,99.00%,Donald J. Trump JD Vance,(Republican),97
ED   25,99.00%,Donald J. Trump JD Vance,(Conservative),12
ED   25,99.00%,Kamala D. Harris Tim Walz,(Working Families),35
ED   25,99.00%,WRITE-IN,&nbsp,16
ED   26,99.00%,Kamala D. Harris Tim Walz,(Democratic),314
ED   26,99.00%,Donald J. Trump JD Vance,(Republican),84
ED   26,99.00%,Donald J. Trump JD Vance,(Conservative),6
ED   26,99.00%,Kamala D. Harris Tim Walz,(Working Families),19
ED   26,99.00%,WRITE-IN,&nbsp,4
ED   27,99.00%,Kamala D. Harris Tim Walz,(Democratic),303
ED   27,99.00%,Donald J. Trump JD Vance,(Republican),86
ED   27,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED   27,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   27,99.00%,WRITE-IN,&nbsp,1
ED   28,99.00%,Kamala D. Harris Tim Walz,(Democratic),533
ED   28,99.00%,Donald J. Trump JD Vance,(Republican),83
ED   28,99.00%,Donald J. Trump JD Vance,(Conservative),14
ED   28,99.00%,Kamala D. Harris Tim Walz,(Working Families),63
ED   28,99.00%,WRITE-IN,&nbsp,16
ED   29,99.00%,Kamala D. Harris Tim Walz,(Democratic),520
ED   29,99.00%,Donald J. Trump JD Vance,(Republican),109
ED   29,99.00%,Donald J. Trump JD Vance,(Conservative),7
ED   29,99.00%,Kamala D. Harris Tim Walz,(Working Families),39
ED   29,99.00%,WRITE-IN,&nbsp,25
ED   30,99.00%,Kamala D. Harris Tim Walz,(Democratic),292
ED   30,99.00%,Donald J. Trump JD Vance,(Republican),66
ED   30,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED   30,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED   30,99.00%,WRITE-IN,&nbsp,3
ED   31,99.00%,Kamala D. Harris Tim Walz,(Democratic),361
ED   31,99.00%,Donald J. Trump JD Vance,(Republican),85
ED   31,99.00%,Donald J. Trump JD Vance,(Conservative),16
ED   31,99.00%,Kamala D. Harris Tim Walz,(Working Families),32
ED   31,99.00%,WRITE-IN,&nbsp,16
ED   32,99.00%,Kamala D. Harris Tim Walz,(Democratic),563
ED   32,99.00%,Donald J. Trump JD Vance,(Republican),93
ED   32,99.00%,Donald J. Trump JD Vance,(Conservative),12
ED   32,99.00%,Kamala D. Harris Tim Walz,(Working Families),45
ED   32,99.00%,WRITE-IN,&nbsp,18
ED   33,99.00%,Kamala D. Harris Tim Walz,(Democratic),628
ED   33,99.00%,Donald J. Trump JD Vance,(Republican),142
ED   33,99.00%,Donald J. Trump JD Vance,(Conservative),13
ED   33,99.00%,Kamala D. Harris Tim Walz,(Working Families),72
ED   33,99.00%,WRITE-IN,&nbsp,22
ED   34,99.00%,Kamala D. Harris Tim Walz,(Democratic),413
ED   34,99.00%,Donald J. Trump JD Vance,(Republican),120
ED   34,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED   34,99.00%,Kamala D. Harris Tim Walz,(Working Families),17
ED   34,99.00%,WRITE-IN,&nbsp,6
ED   35,60.00%,Kamala D. Harris Tim Walz,(Democratic),446
ED   35,60.00%,Donald J. Trump JD Vance,(Republican),80
ED   35,60.00%,Donald J. Trump JD Vance,(Conservative),5
ED   35,60.00%,Kamala D. Harris Tim Walz,(Working Families),30
ED   35,60.00%,WRITE-IN,&nbsp,6
ED   36,99.00%,Kamala D. Harris Tim Walz,(Democratic),333
ED   36,99.00%,Donald J. Trump JD Vance,(Republican),68
ED   36,99.00%,Donald J. Trump JD Vance,(Conservative),7
ED   36,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED   36,99.00%,WRITE-IN,&nbsp,5
ED   37,60.00%,Kamala D. Harris Tim Walz,(Democratic),455
ED   37,60.00%,Donald J. Trump JD Vance,(Republican),156
ED   37,60.00%,Donald J. Trump JD Vance,(Conservative),9
ED   37,60.00%,Kamala D. Harris Tim Walz,(Working Families),23
ED   37,60.00%,WRITE-IN,&nbsp,9
ED   38,60.00%,Kamala D. Harris Tim Walz,(Democratic),386
ED   38,60.00%,Donald J. Trump JD Vance,(Republican),84
ED   38,60.00%,Donald J. Trump JD Vance,(Conservative),4
ED   38,60.00%,Kamala D. Harris Tim Walz,(Working Families),22
ED   38,60.00%,WRITE-IN,&nbsp,7
ED   39,71.43%,Kamala D. Harris Tim Walz,(Democratic),243
ED   39,71.43%,Donald J. Trump JD Vance,(Republican),64
ED   39,71.43%,Donald J. Trump JD Vance,(Conservative),4
ED   39,71.43%,Kamala D. Harris Tim Walz,(Working Families),13
ED   39,71.43%,WRITE-IN,&nbsp,1
ED   40,71.43%,Kamala D. Harris Tim Walz,(Democratic),228
ED   40,71.43%,Donald J. Trump JD Vance,(Republican),64
ED   40,71.43%,Donald J. Trump JD Vance,(Conservative),4
ED   40,71.43%,Kamala D. Harris Tim Walz,(Working Families),8
ED   40,71.43%,WRITE-IN,&nbsp,5
ED   41,71.43%,Kamala D. Harris Tim Walz,(Democratic),341
ED   41,71.43%,Donald J. Trump JD Vance,(Republican),88
ED   41,71.43%,Donald J. Trump JD Vance,(Conservative),5
ED   41,71.43%,Kamala D. Harris Tim Walz,(Working Families),15
ED   41,71.43%,WRITE-IN,&nbsp,9
ED   42,71.43%,Kamala D. Harris Tim Walz,(Democratic),267
ED   42,71.43%,Donald J. Trump JD Vance,(Republican),64
ED   42,71.43%,Donald J. Trump JD Vance,(Conservative),2
ED   42,71.43%,Kamala D. Harris Tim Walz,(Working Families),8
ED   42,71.43%,WRITE-IN,&nbsp,12
ED   43,71.43%,Kamala D. Harris Tim Walz,(Democratic),385
ED   43,71.43%,Donald J. Trump JD Vance,(Republican),104
ED   43,71.43%,Donald J. Trump JD Vance,(Conservative),4
ED   43,71.43%,Kamala D. Harris Tim Walz,(Working Families),31
ED   43,71.43%,WRITE-IN,&nbsp,16
ED   44,71.43%,Kamala D. Harris Tim Walz,(Democratic),434
ED   44,71.43%,Donald J. Trump JD Vance,(Republican),126
ED   44,71.43%,Donald J. Trump JD Vance,(Conservative),10
ED   44,71.43%,Kamala D. Harris Tim Walz,(Working Families),32
ED   44,71.43%,WRITE-IN,&nbsp,11
ED   45,71.43%,Kamala D. Harris Tim Walz,(Democratic),371
ED   45,71.43%,Donald J. Trump JD Vance,(Republican),115
ED   45,71.43%,Donald J. Trump JD Vance,(Conservative),11
ED   45,71.43%,Kamala D. Harris Tim Walz,(Working Families),23
ED   45,71.43%,WRITE-IN,&nbsp,12
ED   46,71.43%,Kamala D. Harris Tim Walz,(Democratic),376
ED   46,71.43%,Donald J. Trump JD Vance,(Republican),92
ED   46,71.43%,Donald J. Trump JD Vance,(Conservative),5
ED   46,71.43%,Kamala D. Harris Tim Walz,(Working Families),25
ED   46,71.43%,WRITE-IN,&nbsp,6
ED   47,71.43%,Kamala D. Harris Tim Walz,(Democratic),506
ED   47,71.43%,Donald J. Trump JD Vance,(Republican),124
ED   47,71.43%,Donald J. Trump JD Vance,(Conservative),9
ED   47,71.43%,Kamala D. Harris Tim Walz,(Working Families),22
ED   47,71.43%,WRITE-IN,&nbsp,12
ED   48,60.00%,Kamala D. Harris Tim Walz,(Democratic),507
ED   48,60.00%,Donald J. Trump JD Vance,(Republican),106
ED   48,60.00%,Donald J. Trump JD Vance,(Conservative),6
ED   48,60.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   48,60.00%,WRITE-IN,&nbsp,6
ED   49,60.00%,Kamala D. Harris Tim Walz,(Democratic),249
ED   49,60.00%,Donald J. Trump JD Vance,(Republican),53
ED   49,60.00%,Donald J. Trump JD Vance,(Conservative),3
ED   49,60.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   49,60.00%,WRITE-IN,&nbsp,4
ED   50,60.00%,Kamala D. Harris Tim Walz,(Democratic),222
ED   50,60.00%,Donald J. Trump JD Vance,(Republican),81
ED   50,60.00%,Donald J. Trump JD Vance,(Conservative),7
ED   50,60.00%,Kamala D. Harris Tim Walz,(Working Families),11
ED   50,60.00%,WRITE-IN,&nbsp,4
ED   51,60.00%,Kamala D. Harris Tim Walz,(Democratic),438
ED   51,60.00%,Donald J. Trump JD Vance,(Republican),113
ED   51,60.00%,Donald J. Trump JD Vance,(Conservative),8
ED   51,60.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   51,60.00%,WRITE-IN,&nbsp,7
ED   52,81.82%,Kamala D. Harris Tim Walz,(Democratic),332
ED   52,81.82%,Donald J. Trump JD Vance,(Republican),88
ED   52,81.82%,Donald J. Trump JD Vance,(Conservative),3
ED   52,81.82%,Kamala D. Harris Tim Walz,(Working Families),15
ED   52,81.82%,WRITE-IN,&nbsp,12
ED   53,81.82%,Kamala D. Harris Tim Walz,(Democratic),263
ED   53,81.82%,Donald J. Trump JD Vance,(Republican),44
ED   53,81.82%,Donald J. Trump JD Vance,(Conservative),6
ED   53,81.82%,Kamala D. Harris Tim Walz,(Working Families),19
ED   53,81.82%,WRITE-IN,&nbsp,10
ED   54,99.00%,Kamala D. Harris Tim Walz,(Democratic),480
ED   54,99.00%,Donald J. Trump JD Vance,(Republican),112
ED   54,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED   54,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   54,99.00%,WRITE-IN,&nbsp,16
ED   55,81.82%,Kamala D. Harris Tim Walz,(Democratic),583
ED   55,81.82%,Donald J. Trump JD Vance,(Republican),137
ED   55,81.82%,Donald J. Trump JD Vance,(Conservative),6
ED   55,81.82%,Kamala D. Harris Tim Walz,(Working Families),30
ED   55,81.82%,WRITE-IN,&nbsp,24
ED   56,66.67%,Kamala D. Harris Tim Walz,(Democratic),248
ED   56,66.67%,Donald J. Trump JD Vance,(Republican),51
ED   56,66.67%,Donald J. Trump JD Vance,(Conservative),6
ED   56,66.67%,Kamala D. Harris Tim Walz,(Working Families),15
ED   56,66.67%,WRITE-IN,&nbsp,9
ED   57,66.67%,Kamala D. Harris Tim Walz,(Democratic),305
ED   57,66.67%,Donald J. Trump JD Vance,(Republican),60
ED   57,66.67%,Donald J. Trump JD Vance,(Conservative),5
ED   57,66.67%,Kamala D. Harris Tim Walz,(Working Families),23
ED   57,66.67%,WRITE-IN,&nbsp,12
ED   58,66.67%,Kamala D. Harris Tim Walz,(Democratic),350
ED   58,66.67%,Donald J. Trump JD Vance,(Republican),100
ED   58,66.67%,Donald J. Trump JD Vance,(Conservative),11
ED   58,66.67%,Kamala D. Harris Tim Walz,(Working Families),15
ED   58,66.67%,WRITE-IN,&nbsp,3
ED   59,66.67%,Kamala D. Harris Tim Walz,(Democratic),273
ED   59,66.67%,Donald J. Trump JD Vance,(Republican),48
ED   59,66.67%,Donald J. Trump JD Vance,(Conservative),6
ED   59,66.67%,Kamala D. Harris Tim Walz,(Working Families),9
ED   59,66.67%,WRITE-IN,&nbsp,7
ED   60,71.43%,Kamala D. Harris Tim Walz,(Democratic),317
ED   60,71.43%,Donald J. Trump JD Vance,(Republican),46
ED   60,71.43%,Donald J. Trump JD Vance,(Conservative),7
ED   60,71.43%,Kamala D. Harris Tim Walz,(Working Families),18
ED   60,71.43%,WRITE-IN,&nbsp,7
ED   61,60.00%,Kamala D. Harris Tim Walz,(Democratic),187
ED   61,60.00%,Donald J. Trump JD Vance,(Republican),56
ED   61,60.00%,Donald J. Trump JD Vance,(Conservative),6
ED   61,60.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED   61,60.00%,WRITE-IN,&nbsp,0
ED   62,81.82%,Kamala D. Harris Tim Walz,(Democratic),494
ED   62,81.82%,Donald J. Trump JD Vance,(Republican),103
ED   62,81.82%,Donald J. Trump JD Vance,(Conservative),10
ED   62,81.82%,Kamala D. Harris Tim Walz,(Working Families),38
ED   62,81.82%,WRITE-IN,&nbsp,20
ED   63,81.82%,Kamala D. Harris Tim Walz,(Democratic),441
ED   63,81.82%,Donald J. Trump JD Vance,(Republican),93
ED   63,81.82%,Donald J. Trump JD Vance,(Conservative),5
ED   63,81.82%,Kamala D. Harris Tim Walz,(Working Families),27
ED   63,81.82%,WRITE-IN,&nbsp,14
ED   64,81.82%,Kamala D. Harris Tim Walz,(Democratic),220
ED   64,81.82%,Donald J. Trump JD Vance,(Republican),49
ED   64,81.82%,Donald J. Trump JD Vance,(Conservative),1
ED   64,81.82%,Kamala D. Harris Tim Walz,(Working Families),12
ED   64,81.82%,WRITE-IN,&nbsp,10
ED   65,81.82%,Kamala D. Harris Tim Walz,(Democratic),546
ED   65,81.82%,Donald J. Trump JD Vance,(Republican),106
ED   65,81.82%,Donald J. Trump JD Vance,(Conservative),6
ED   65,81.82%,Kamala D. Harris Tim Walz,(Working Families),28
ED   65,81.82%,WRITE-IN,&nbsp,17
ED   66,81.82%,Kamala D. Harris Tim Walz,(Democratic),682
ED   66,81.82%,Donald J. Trump JD Vance,(Republican),178
ED   66,81.82%,Donald J. Trump JD Vance,(Conservative),8
ED   66,81.82%,Kamala D. Harris Tim Walz,(Working Families),45
ED   66,81.82%,WRITE-IN,&nbsp,24
ED   67,81.82%,Kamala D. Harris Tim Walz,(Democratic),429
ED   67,81.82%,Donald J. Trump JD Vance,(Republican),138
ED   67,81.82%,Donald J. Trump JD Vance,(Conservative),13
ED   67,81.82%,Kamala D. Harris Tim Walz,(Working Families),13
ED   67,81.82%,WRITE-IN,&nbsp,28
ED   68,60.00%,Kamala D. Harris Tim Walz,(Democratic),170
ED   68,60.00%,Donald J. Trump JD Vance,(Republican),40
ED   68,60.00%,Donald J. Trump JD Vance,(Conservative),5
ED   68,60.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   68,60.00%,WRITE-IN,&nbsp,6
ED   69,40.00%,Kamala D. Harris Tim Walz,(Democratic),165
ED   69,40.00%,Donald J. Trump JD Vance,(Republican),56
ED   69,40.00%,Donald J. Trump JD Vance,(Conservative),6
ED   69,40.00%,Kamala D. Harris Tim Walz,(Working Families),2
ED   69,40.00%,WRITE-IN,&nbsp,0
ED   70,99.00%,Kamala D. Harris Tim Walz,(Democratic),991
